City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
269,Poronaysk,RU,49.2167,143.1167,19.83,90,100,9.82,overcast clouds
270,Lavrentiya,RU,65.5833,-171.0,-12.37,92,12,7.34,few clouds
271,Constitucion,CL,-35.3333,-72.4167,65.79,66,1,5.75,clear sky
272,Nome,US,64.5011,-165.4064,3.27,43,40,8.05,scattered clouds
273,Aykhal,RU,66.0,111.5,-8.57,83,86,4.38,overcast clouds
274,Tavda,RU,58.0425,65.2726,-7.1,100,99,2.93,overcast clouds
275,Deputatskiy,RU,69.3,139.9,-9.54,94,100,5.88,overcast clouds
276,Kenora,CA,49.8167,-94.4337,-6.23,53,75,4.61,broken clouds
277,Tura,IN,25.5198,90.2201,53.53,76,0,4.41,clear sky
278,Aksu,CN,41.1231,80.2644,29.79,42,47,5.41,scattered clouds
279,Yashan,CN,22.1975,109.9419,56.07,93,100,6.67,overcast clouds
280,Nizhniy Kuranakh,RU,58.8353,125.4869,-34.8,99,90,1.74,overcast clouds
281,Yulara,AU,-25.2406,130.9889,71.44,43,0,6.91,clear sky
282,Millbrook,US,32.4799,-86.3619,71.67,38,0,5.75,clear sky
283,Narasannapeta,IN,18.4167,84.05,65.57,72,55,5.19,broken clouds
284,Bilma,NE,18.6853,12.9164,62.8,17,0,8.1,clear sky
285,Portland,US,45.5234,-122.6762,67.21,29,0,21.0,clear sky
286,Leh,IN,34.1667,77.5833,-1.48,74,94,2.15,overcast clouds
287,Esperance,AU,-33.8667,121.9,64.24,59,85,8.68,overcast clouds
288,Dongkan,CN,33.9997,119.8308,37.99,90,88,5.39,light rain
289,Rio Das Pedras,BR,-22.8433,-47.6061,77.47,83,53,9.62,broken clouds
290,Qaanaaq,GL,77.484,-69.3632,-19.86,48,0,8.75,clear sky
291,Visby,SE,57.6409,18.296,36.05,80,20,23.02,few clouds
292,Tromso,NO,69.6496,18.957,17.38,86,0,6.91,clear sky
293,Northam,GB,51.0333,-4.2167,50.41,97,100,19.95,light rain
294,Port Augusta,AU,-32.5,137.7667,86.7,15,78,4.16,broken clouds
295,Iralaya,HN,15.0,-83.2333,79.3,75,15,11.74,few clouds
296,Lincoln Park,US,42.2506,-83.1785,22.17,65,100,8.05,overcast clouds
297,Gubkinskiy,RU,64.434,76.5026,-10.21,95,7,13.73,clear sky
298,Coihaique,CL,-45.5752,-72.0662,84.81,65,46,4.36,scattered clouds
299,Yerbogachen,RU,61.2767,108.0108,-24.63,100,97,1.7,overcast clouds
300,Chateauroux,FR,46.8167,1.7,33.28,80,0,2.3,clear sky
301,Chifeng,CN,42.2683,118.9636,8.46,82,81,3.18,broken clouds
302,Kaliganj,BD,23.4095,89.1402,58.01,56,1,7.0,clear sky
303,Whitianga,NZ,-36.8333,175.7,73.02,80,97,28.12,overcast clouds
304,Batagay-Alyta,RU,67.8006,130.4114,-17.66,87,93,4.47,overcast clouds
305,Hof,DE,50.3167,11.9167,33.01,80,100,5.99,overcast clouds
306,Wajir,KE,1.7471,40.0573,81.79,30,45,12.93,scattered clouds
307,Kruisfontein,ZA,-34.0033,24.7314,70.77,93,97,9.69,overcast clouds
308,Lotofaga,WS,-13.9764,-171.8578,85.78,76,61,10.6,moderate rain
309,Cadiz,ES,36.5,-5.75,56.39,96,86,5.46,overcast clouds
310,Orsha,BY,54.5153,30.4053,25.52,84,58,14.18,broken clouds
311,Fuxin,CN,42.0156,121.6589,7.02,69,5,6.4,clear sky
312,Moerewa,NZ,-35.3833,174.0333,74.34,71,97,12.66,overcast clouds
313,Ko Samui,TH,9.5357,99.9357,81.66,75,55,10.27,broken clouds
314,Klaksvik,FO,62.2266,-6.589,40.12,92,88,16.26,overcast clouds
315,Marawi,PH,7.9986,124.2928,63.64,84,100,2.24,overcast clouds
316,Narsaq,GL,60.9167,-46.05,30.42,97,100,5.35,snow
317,Yerofey Pavlovich,RU,53.9667,121.9667,-20.04,96,34,3.22,scattered clouds
318,Bafoulabe,ML,13.8065,-10.8321,77.16,11,4,6.91,clear sky
319,Wilkie,CA,52.4168,-108.7014,7.18,84,42,3.91,scattered clouds
320,Eunice,US,30.4944,-92.4176,66.09,62,96,20.2,overcast clouds
321,Maiduguri,NG,11.8464,13.1603,69.06,17,82,8.57,broken clouds
322,Vanimo,PG,-2.6741,141.3028,78.84,86,98,3.51,overcast clouds
323,Coquimbo,CL,-29.9533,-71.3436,69.53,68,20,9.22,few clouds
324,Henties Bay,NA,-22.116,14.2845,70.86,84,95,3.71,light rain
325,Salalah,OM,17.0151,54.0924,75.29,64,75,4.61,broken clouds
326,Dibulla,CO,11.2725,-73.3091,91.42,62,85,14.9,overcast clouds
327,Olinda,BR,-8.0089,-34.8553,83.93,74,40,5.75,scattered clouds
328,Paamiut,GL,61.994,-49.6678,17.92,93,100,3.78,overcast clouds
329,Terracina,IT,41.2863,13.2217,53.91,71,24,4.14,few clouds
330,Anadyr,RU,64.75,177.4833,-23.3,76,0,15.66,clear sky
331,Takhtamygda,RU,54.1,123.5667,-19.57,96,70,3.04,broken clouds
332,Gondanglegi,ID,-7.7479,112.0132,73.65,96,100,4.07,light rain
333,Kouroussa,GN,10.65,-9.8833,76.19,15,5,3.47,clear sky
334,Wuda,CN,39.4994,106.7117,24.67,69,84,11.72,broken clouds
